,median_abs_coef,median_perm_importance,presence_freq,coef_nonzero_given_present,pi_nonzero_freq,consensus_rank
core__t1__wavelet-LHH_firstorder_Skewness,0.32054490577788364,0.006870311749155749,1.0,1.0,0.8,115.0
core__flair__wavelet-HHL_glcm_InverseVariance,0.25497679110400784,0.008822167232392465,1.0,1.0,0.7,117.0
core__t2__wavelet-HLH_firstorder_Kurtosis,0.2610214594371498,0.00851126262961246,1.0,1.0,0.7,118.0
core__t2__wavelet-LLL_ngtdm_Complexity,0.3213049087181197,0.006372345916872453,1.0,1.0,0.7,118.0
core__t2__wavelet-HLL_glcm_ClusterShade,0.2784280227663092,0.007125253121211438,1.0,1.0,0.9,124.0
core__t1ce__original_glszm_SmallAreaLowGrayLevelEmphasis,0.22408454725522442,0.010440750798640097,1.0,1.0,0.8,126.0
core__t1__log-sigma-3-0-mm-3D_firstorder_Median,0.3199685610635314,0.00547400001804833,1.0,1.0,1.0,126.0
core__t2__wavelet-LHH_firstorder_Skewness,0.2848525003550175,0.005975681576226884,1.0,1.0,0.8,132.0
core__t2__wavelet-LLL_ngtdm_Strength,0.35193181393693296,0.0027404925210617287,1.0,1.0,0.6,133.0
core__t1ce__wavelet-HHL_firstorder_Skewness,0.2919139789080726,0.005008440086198599,0.9,1.0,0.6666666666666666,136.0
core__t1__log-sigma-1-0-mm-3D_glcm_Imc1,0.2199622794916865,0.008611743975549126,1.0,1.0,0.8,137.0
core__flair__wavelet-LLL_glszm_GrayLevelVariance,0.2441253220257327,0.007034060717396928,1.0,1.0,1.0,137.0
core__t1ce__wavelet-HHH_glszm_SmallAreaEmphasis,0.25476460965371495,0.006786267342705313,1.0,0.9,0.7,137.0
core__t1__wavelet-LLL_ngtdm_Complexity,0.3001533469911948,0.0036570780508638446,1.0,0.9,0.7,142.0
core__t2__log-sigma-3-0-mm-3D_firstorder_Maximum,0.3429427294542823,0.0020685285817374542,1.0,1.0,0.7,144.0
core__t2__wavelet-HLL_glcm_MCC,0.2317917309971118,0.006710337489923561,1.0,0.9,0.8,145.0
core__t2__wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.3566376119645067,0.0018990344667984206,1.0,1.0,0.6,147.0
core__t1ce__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.25485371536731494,0.0048938226411925955,1.0,1.0,0.6,148.0
core__t2__log-sigma-0-5-mm-3D_firstorder_Skewness,0.16046079578725486,0.01433492373614375,0.1,1.0,1.0,149.0
core__t1__wavelet-HLH_firstorder_Skewness,0.21019799388408764,0.007797450528839998,1.0,1.0,0.6,149.0
core__t2__wavelet-LLL_glszm_SmallAreaEmphasis,0.22950704741622224,0.00623369908393174,0.7,1.0,0.8571428571428571,149.0
core__t2__wavelet-LHH_gldm_DependenceVariance,0.22439796892348227,0.005743080671805386,1.0,1.0,0.7,154.0
core__flair__wavelet-HHL_firstorder_Mean,0.32185103157154554,0.0019580328909275923,1.0,1.0,0.7,155.0
core__t1__wavelet-LHL_glcm_Correlation,0.24521495515859526,0.003501926321979667,1.0,0.9,0.7,162.0
core__flair__wavelet-LLL_glszm_SizeZoneNonUniformity,0.2145246577246512,0.005508698837630584,1.0,1.0,0.7,163.0
core__flair__wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.21810292278351628,0.004580228034221122,0.7,1.0,0.7142857142857143,168.0
core__t1__wavelet-HLL_glcm_MCC,0.15999494273878878,0.009315589696552927,1.0,1.0,0.7,169.0
core__t2__wavelet-HLL_firstorder_Mean,0.24668942899004953,0.002296308653464031,1.0,1.0,0.8,169.0
core__t1__log-sigma-1-0-mm-3D_firstorder_Skewness,0.22031306657616267,0.003980790805080325,1.0,1.0,0.7,170.0
core__flair__log-sigma-3-0-mm-3D_ngtdm_Complexity,0.20355131985165914,0.004792472349394198,1.0,1.0,0.8,175.0
